,Category,F1-Score
0,ARTS,0.4622222222222222
1,ARTS & CULTURE,0.4344262295081967
2,BLACK VOICES,0.48125
3,BUSINESS,0.547731700528806
4,COLLEGE,0.47717231222385864
5,COMEDY,0.5285266457680251
6,CRIME,0.6086956521739131
7,CULTURE & ARTS,0.5204460966542751
8,DIVORCE,0.7967086156824782
9,EDUCATION,0.44964028776978415
10,ENTERTAINMENT,0.7404573028464769
11,ENVIRONMENT,0.486284289276808
12,FIFTY,0.37971391417425226
13,FOOD & DRINK,0.7467416304625607
14,GOOD NEWS,0.30925221799746516
15,GREEN,0.47171945701357465
16,HEALTHY LIVING,0.4746936600958977
17,HOME & LIVING,0.7668314948649677
18,IMPACT,0.37755102040816324
19,LATINO VOICES,0.49581239530988275
20,MEDIA,0.5363528009535161
21,MONEY,0.5524752475247525
22,PARENTING,0.6968421052631579
23,PARENTS,0.47091670544439274
24,POLITICS,0.8112982970151987
25,QUEER VOICES,0.739095096179897
26,RELIGION,0.6031966643502432
27,SCIENCE,0.5738539898132428
28,SPORTS,0.7596496918585793
29,STYLE,0.53353428786737
30,STYLE & BEAUTY,0.8443612859329818
31,TASTE,0.38675022381378693
32,TECH,0.5700934579439252
33,THE WORLDPOST,0.5486552567237164
34,TRAVEL,0.8141651497600529
35,U.S. NEWS,0.3012211668928087
36,WEDDINGS,0.8254674977738201
37,WEIRD NEWS,0.4176100628930818
38,WELLNESS,0.7650533368597373
39,WOMEN,0.3894839337877313
40,WORLD NEWS,0.47563917028461167
41,WORLDPOST,0.6280373831775701
